transaction-type,transaction-date,default-currency,transaction-value,transaction_ref,transaction_value_currency,transaction_value_value-date,transaction_provider-org,transaction_provider-org_ref,transaction_provider-org_provider-activity-id,transaction_receiver-org,transaction_receiver-org_ref,transaction_receiver-org_receiver-activity-id,transaction_description,transaction_flow-type_code,transaction_finance-type_code,transaction_aid-type_code,transaction_tied-status_code,transaction_disbursement-channel_code,transaction_recipient-country-code,transaction_recipient-country,transaction_recipient-region-code,transaction_recipient-region,transaction_sector-code,transaction_sector,transaction_sector-vocabulary,transaction_sector-vocabulary-code,iati-identifier,hierarchy,last-updated-datetime,default-language,reporting-org,reporting-org-ref,reporting-org-type,reporting-org-type-code,title,description,activity-status-code,start-planned,end-planned,start-actual,end-actual,participating-org (Accountable),participating-org-ref (Accountable),participating-org-type (Accountable),participating-org-type-code (Accountable),participating-org (Funding),participating-org-ref (Funding),participating-org-type (Funding),participating-org-type-code (Funding),participating-org (Extending),participating-org-ref (Extending),participating-org-type (Extending),participating-org-type-code (Extending),participating-org (Implementing),participating-org-ref (Implementing),participating-org-type (Implementing),participating-org-type-code (Implementing),recipient-country-code,recipient-country,recipient-country-percentage,recipient-region-code,recipient-region,recipient-region-percentage,sector-code,sector,sector-percentage,sector-vocabulary,sector-vocabulary-code,collaboration-type-code,default-finance-type-code,default-flow-type-code,default-aid-type-code,default-tied-status-code
2,2018-11-26,GBP,170000,REFCO1,GBP,2018-11-26,UK - Department for International Development (DFID),GB-GOV-1,GB-1-205206-105,International Bank for Reconstruction and Development (IBRD),44000,,"This is an outgoing commitment to International Bank for Reconstruction and Development (IBRD) of £170,000.00",,,,,,,,,,,,,,GB-1-205206-105,2,2019-06-09 00:00:00,en,Department for International Development,GB-GOV-1,Government,10,World Bank Protracted Crisis Window - Resilience and Emergency Response ,"This activity (World Bank Protracted Crisis Window - Resilience and Emergency Response) is a component of Building Resilience and an Effective Emergency Refugee Response (BRAER) reported by DFID, with a funding type of 'Multilateral organisation' and a budget of £1,370,000. This component benefits Uganda, and works in the following sector(s): Facilitation of orderly, safe, regular and responsible migration and mobility. , with the following implementing partners: International Bank for Reconstruction and Development (IBRD). The start date is 01-06-2018 and the end date is 31-05-2023.",2,2018-06-01,2023-05-31,2018-06-01,,Department for International Development,GB-GOV-1,Government,10,Department for International Development,GB-GOV-1,Government,10,,,,,International Bank for Reconstruction and Development (IBRD),44000,Multilateral,40,UG,Uganda,,,,,15190,,,OECD Development Assistance Committee,DAC,1,110,10,C01,5
3,2019-02-19,GBP,170000,8316764,GBP,2019-02-19,UK - Department for International Development (DFID),GB-GOV-1,,International Bank for Reconstruction and Development (IBRD),44000,,Emergency / Humanitarian Assistance,,,,,,,,,,,,,,GB-1-205206-105,2,2019-06-09 00:00:00,en,Department for International Development,GB-GOV-1,Government,10,World Bank Protracted Crisis Window - Resilience and Emergency Response ,"This activity (World Bank Protracted Crisis Window - Resilience and Emergency Response) is a component of Building Resilience and an Effective Emergency Refugee Response (BRAER) reported by DFID, with a funding type of 'Multilateral organisation' and a budget of £1,370,000. This component benefits Uganda, and works in the following sector(s): Facilitation of orderly, safe, regular and responsible migration and mobility. , with the following implementing partners: International Bank for Reconstruction and Development (IBRD). The start date is 01-06-2018 and the end date is 31-05-2023.",2,2018-06-01,2023-05-31,2018-06-01,,Department for International Development,GB-GOV-1,Government,10,Department for International Development,GB-GOV-1,Government,10,,,,,International Bank for Reconstruction and Development (IBRD),44000,Multilateral,40,UG,Uganda,,,,,15190,,,OECD Development Assistance Committee,DAC,1,110,10,C01,5
2,2018-02-03,GBP,1281,REFCO1,GBP,2018-02-03,UK - Department for International Development (DFID),GB-GOV-1,GB-1-205206-109,Palladium International Ltd (UK),GB-COH-02394229,,"This is an outgoing commitment to Palladium International Ltd (UK) of £1,281.44",,,,,,,,,,,,,,GB-1-205206-109,2,2019-06-12 00:00:00,en,Department for International Development,GB-GOV-1,Government,10,Technical Assistance and Surge Support - Resilience and Emergency Response  ,"This activity (Technical Assistance and Surge Support - Resilience and Emergency Response) is a component of Building Resilience and an Effective Emergency Refugee Response (BRAER) reported by DFID, with a funding type of 'Procurement of Services' and a budget of £892,754. This component benefits Uganda, and works in the following sector(s): Facilitation of orderly, safe, regular and responsible migration and mobility, Immediate post-emergency reconstruction and rehabilitation. , with the following implementing partners: Palladium International Ltd (UK). The start date is 25-06-2018 and the end date is 31-05-2023.",2,2018-06-25,2023-05-31,2018-06-25,,Department for International Development,GB-GOV-1,Government,10,Department for International Development,GB-GOV-1,Government,10,,,,,Palladium International Ltd (UK),GB-COH-02394229,Private Sector,70,UG,Uganda,,,,,15190;73010,;Reconstruction relief and rehabilitation,70;30,OECD Development Assistance Committee;OECD Development Assistance Committee,DAC;DAC,1,110,10,C01,5
2,2019-01-24,GBP,36452,REFCO2,GBP,2019-01-24,UK - Department for International Development (DFID),GB-GOV-1,GB-1-205206-109,Palladium International Ltd (UK),GB-COH-02394229,,"This is an outgoing commitment to Palladium International Ltd (UK) of £36,452.93",,,,,,,,,,,,,,GB-1-205206-109,2,2019-06-12 00:00:00,en,Department for International Development,GB-GOV-1,Government,10,Technical Assistance and Surge Support - Resilience and Emergency Response  ,"This activity (Technical Assistance and Surge Support - Resilience and Emergency Response) is a component of Building Resilience and an Effective Emergency Refugee Response (BRAER) reported by DFID, with a funding type of 'Procurement of Services' and a budget of £892,754. This component benefits Uganda, and works in the following sector(s): Facilitation of orderly, safe, regular and responsible migration and mobility, Immediate post-emergency reconstruction and rehabilitation. , with the following implementing partners: Palladium International Ltd (UK). The start date is 25-06-2018 and the end date is 31-05-2023.",2,2018-06-25,2023-05-31,2018-06-25,,Department for International Development,GB-GOV-1,Government,10,Department for International Development,GB-GOV-1,Government,10,,,,,Palladium International Ltd (UK),GB-COH-02394229,Private Sector,70,UG,Uganda,,,,,15190;73010,;Reconstruction relief and rehabilitation,70;30,OECD Development Assistance Committee;OECD Development Assistance Committee,DAC;DAC,1,110,10,C01,5
2,2019-10-08,GBP,27693,REFCO3,GBP,2019-10-08,UK - Department for International Development (DFID),GB-GOV-1,GB-1-205206-109,Palladium International Ltd (UK),GB-COH-02394229,,"This is an outgoing commitment to Palladium International Ltd (UK) of £27,693.48",,,,,,,,,,,,,,GB-1-205206-109,2,2019-06-12 00:00:00,en,Department for International Development,GB-GOV-1,Government,10,Technical Assistance and Surge Support - Resilience and Emergency Response  ,"This activity (Technical Assistance and Surge Support - Resilience and Emergency Response) is a component of Building Resilience and an Effective Emergency Refugee Response (BRAER) reported by DFID, with a funding type of 'Procurement of Services' and a budget of £892,754. This component benefits Uganda, and works in the following sector(s): Facilitation of orderly, safe, regular and responsible migration and mobility, Immediate post-emergency reconstruction and rehabilitation. , with the following implementing partners: Palladium International Ltd (UK). The start date is 25-06-2018 and the end date is 31-05-2023.",2,2018-06-25,2023-05-31,2018-06-25,,Department for International Development,GB-GOV-1,Government,10,Department for International Development,GB-GOV-1,Government,10,,,,,Palladium International Ltd (UK),GB-COH-02394229,Private Sector,70,UG,Uganda,,,,,15190;73010,;Reconstruction relief and rehabilitation,70;30,OECD Development Assistance Committee;OECD Development Assistance Committee,DAC;DAC,1,110,10,C01,5
2,2019-10-16,GBP,1508,REFCO4,GBP,2019-10-16,UK - Department for International Development (DFID),GB-GOV-1,GB-1-205206-109,Palladium International Ltd (UK),GB-COH-02394229,,"This is an outgoing commitment to Palladium International Ltd (UK) of £1,508.92",,,,,,,,,,,,,,GB-1-205206-109,2,2019-06-12 00:00:00,en,Department for International Development,GB-GOV-1,Government,10,Technical Assistance and Surge Support - Resilience and Emergency Response  ,"This activity (Technical Assistance and Surge Support - Resilience and Emergency Response) is a component of Building Resilience and an Effective Emergency Refugee Response (BRAER) reported by DFID, with a funding type of 'Procurement of Services' and a budget of £892,754. This component benefits Uganda, and works in the following sector(s): Facilitation of orderly, safe, regular and responsible migration and mobility, Immediate post-emergency reconstruction and rehabilitation. , with the following implementing partners: Palladium International Ltd (UK). The start date is 25-06-2018 and the end date is 31-05-2023.",2,2018-06-25,2023-05-31,2018-06-25,,Department for International Development,GB-GOV-1,Government,10,Department for International Development,GB-GOV-1,Government,10,,,,,Palladium International Ltd (UK),GB-COH-02394229,Private Sector,70,UG,Uganda,,,,,15190;73010,;Reconstruction relief and rehabilitation,70;30,OECD Development Assistance Committee;OECD Development Assistance Committee,DAC;DAC,1,110,10,C01,5
3,2019-02-15,GBP,11505,8313836,GBP,2019-02-15,UK - Department for International Development (DFID),GB-GOV-1,,Palladium International Ltd (UK),GB-COH-02394229,,Technical & Advisory services,,,,,,,,,,,,,,GB-1-205206-109,2,2019-06-12 00:00:00,en,Department for International Development,GB-GOV-1,Government,10,Technical Assistance and Surge Support - Resilience and Emergency Response  ,"This activity (Technical Assistance and Surge Support - Resilience and Emergency Response) is a component of Building Resilience and an Effective Emergency Refugee Response (BRAER) reported by DFID, with a funding type of 'Procurement of Services' and a budget of £892,754. This component benefits Uganda, and works in the following sector(s): Facilitation of orderly, safe, regular and responsible migration and mobility, Immediate post-emergency reconstruction and rehabilitation. , with the following implementing partners: Palladium International Ltd (UK). The start date is 25-06-2018 and the end date is 31-05-2023.",2,2018-06-25,2023-05-31,2018-06-25,,Department for International Development,GB-GOV-1,Government,10,Department for International Development,GB-GOV-1,Government,10,,,,,Palladium International Ltd (UK),GB-COH-02394229,Private Sector,70,UG,Uganda,,,,,15190;73010,;Reconstruction relief and rehabilitation,70;30,OECD Development Assistance Committee;OECD Development Assistance Committee,DAC;DAC,1,110,10,C01,5
3,2019-02-15,GBP,32237,8313862,GBP,2019-02-15,UK - Department for International Development (DFID),GB-GOV-1,,Palladium International Ltd (UK),GB-COH-02394229,,Technical & Advisory services,,,,,,,,,,,,,,GB-1-205206-109,2,2019-06-12 00:00:00,en,Department for International Development,GB-GOV-1,Government,10,Technical Assistance and Surge Support - Resilience and Emergency Response  ,"This activity (Technical Assistance and Surge Support - Resilience and Emergency Response) is a component of Building Resilience and an Effective Emergency Refugee Response (BRAER) reported by DFID, with a funding type of 'Procurement of Services' and a budget of £892,754. This component benefits Uganda, and works in the following sector(s): Facilitation of orderly, safe, regular and responsible migration and mobility, Immediate post-emergency reconstruction and rehabilitation. , with the following implementing partners: Palladium International Ltd (UK). The start date is 25-06-2018 and the end date is 31-05-2023.",2,2018-06-25,2023-05-31,2018-06-25,,Department for International Development,GB-GOV-1,Government,10,Department for International Development,GB-GOV-1,Government,10,,,,,Palladium International Ltd (UK),GB-COH-02394229,Private Sector,70,UG,Uganda,,,,,15190;73010,;Reconstruction relief and rehabilitation,70;30,OECD Development Assistance Committee;OECD Development Assistance Committee,DAC;DAC,1,110,10,C01,5
3,2019-10-11,GBP,27693,8671709,GBP,2019-10-11,UK - Department for International Development (DFID),GB-GOV-1,,Palladium International Ltd (UK),GB-COH-02394229,,Technical & Advisory services,,,,,,,,,,,,,,GB-1-205206-109,2,2019-06-12 00:00:00,en,Department for International Development,GB-GOV-1,Government,10,Technical Assistance and Surge Support - Resilience and Emergency Response  ,"This activity (Technical Assistance and Surge Support - Resilience and Emergency Response) is a component of Building Resilience and an Effective Emergency Refugee Response (BRAER) reported by DFID, with a funding type of 'Procurement of Services' and a budget of £892,754. This component benefits Uganda, and works in the following sector(s): Facilitation of orderly, safe, regular and responsible migration and mobility, Immediate post-emergency reconstruction and rehabilitation. , with the following implementing partners: Palladium International Ltd (UK). The start date is 25-06-2018 and the end date is 31-05-2023.",2,2018-06-25,2023-05-31,2018-06-25,,Department for International Development,GB-GOV-1,Government,10,Department for International Development,GB-GOV-1,Government,10,,,,,Palladium International Ltd (UK),GB-COH-02394229,Private Sector,70,UG,Uganda,,,,,15190;73010,;Reconstruction relief and rehabilitation,70;30,OECD Development Assistance Committee;OECD Development Assistance Committee,DAC;DAC,1,110,10,C01,5
3,2019-10-18,GBP,1098,8676415,GBP,2019-10-18,UK - Department for International Development (DFID),GB-GOV-1,,Palladium International Ltd (UK),GB-COH-02394229,,Technical & Advisory services,,,,,,,,,,,,,,GB-1-205206-109,2,2019-06-12 00:00:00,en,Department for International Development,GB-GOV-1,Government,10,Technical Assistance and Surge Support - Resilience and Emergency Response  ,"This activity (Technical Assistance and Surge Support - Resilience and Emergency Response) is a component of Building Resilience and an Effective Emergency Refugee Response (BRAER) reported by DFID, with a funding type of 'Procurement of Services' and a budget of £892,754. This component benefits Uganda, and works in the following sector(s): Facilitation of orderly, safe, regular and responsible migration and mobility, Immediate post-emergency reconstruction and rehabilitation. , with the following implementing partners: Palladium International Ltd (UK). The start date is 25-06-2018 and the end date is 31-05-2023.",2,2018-06-25,2023-05-31,2018-06-25,,Department for International Development,GB-GOV-1,Government,10,Department for International Development,GB-GOV-1,Government,10,,,,,Palladium International Ltd (UK),GB-COH-02394229,Private Sector,70,UG,Uganda,,,,,15190;73010,;Reconstruction relief and rehabilitation,70;30,OECD Development Assistance Committee;OECD Development Assistance Committee,DAC;DAC,1,110,10,C01,5
